520.74	200	320.74	342.261
494.67	180	314.67	340.183
467.24	160	307.24	337.86
438.11	140	298.11	335.226
406.86	120	286.86	332.186
372.93	100	272.93	328.59
354.85	90	264.85	326.512
335.9	80	255.9	324.188
316	70	246	321.555
295.09	60	235.09	318.514
273	50	223	314.918
249.97	40	209.97	310.517
225.88	30	195.88	304.843
213.36	25	188.36	301.247
200.71	20	180.71	296.845
187.85	15	172.85	291.171
174.78	10	164.78	283.174
161.43	5	156.43	269.502
